ent,Descripción_Campo_amplio,Año,fac_tri,ingocup,cs_p14_c,masa salarial,Sueldo promedio por profesionista,CVE,DESCRIP
1," Ingeniería, manufactura y construcción",2022,36124,2720499,19330700.0,368555344,10202.51,1,Aguascalientes
1," Ingeniería, manufactura y construcción",2023,27583,2608328,16749200.0,310378524,11252.53,1,Aguascalientes
1," Ingeniería, manufactura y construcción",2024,34175,3109155,18905300.0,410363960,12007.72,1,Aguascalientes
1,Administración y negocios,2022,34816,2400235,10672000.0,337983087,9707.69,1,Aguascalientes
1,Administración y negocios,2023,28456,2472644,9848100.0,311285772,10939.2,1,Aguascalientes
1,Administración y negocios,2024,36429,2997579,10689600.0,435419771,11952.56,1,Aguascalientes
1,Agronomía y veterinaria,2022,1548,115575,1223500.0,9914435,6404.67,1,Aguascalientes
1,Agronomía y veterinaria,2023,2763,228500,2118900.0,25370350,9182.18,1,Aguascalientes
1,Agronomía y veterinaria,2024,2608,182370,1552000.0,26894150,10312.17,1,Aguascalientes
1,Artes y humanidades,2022,4327,259370,758100.0,31835650,7357.44,1,Aguascalientes
1,Artes y humanidades,2023,6910,430597,1101000.0,58982897,8535.88,1,Aguascalientes
1,Artes y humanidades,2024,6657,514327,1162700.0,59216856,8895.43,1,Aguascalientes
1,Ciencias de la  salud,2022,12367,857960,8976900.0,111638655,9027.14,1,Aguascalientes
1,Ciencias de la  salud,2023,13622,1030692,10656202.0,128519491,9434.7,1,Aguascalientes
1,Ciencias de la  salud,2024,16575,1208696,9647906.0,211478028,12758.86,1,Aguascalientes
1,"Ciencias naturales, matemáticas y estadística",2022,2031,122070,720300.0,17281250,8508.74,1,Aguascalientes
1,"Ciencias naturales, matemáticas y estadística",2023,785,52220,363300.0,5765240,7344.25,1,Aguascalientes
1,"Ciencias naturales, matemáticas y estadística",2024,1614,99020,516500.0,14187640,8790.36,1,Aguascalientes
1,Ciencias sociales y derecho,2022,13969,1010858,3780500.0,119913400,8584.25,1,Aguascalientes
1,Ciencias sociales y derecho,2023,15507,1138479,3533500.0,188682036,12167.54,1,Aguascalientes
1,Ciencias sociales y derecho,2024,17679,1341980,3912600.0,220661758,12481.57,1,Aguascalientes
1,Educación,2022,9832,618125,944323.0,76514305,7782.17,1,Aguascalientes
1,Educación,2023,8807,706245,962233.0,75882705,8616.18,1,Aguascalientes
1,Educación,2024,7488,618583,792221.0,69790458,9320.31,1,Aguascalientes
1,Servicios,2022,2941,211527,2638000.0,23707426,8061.01,1,Aguascalientes
1,Servicios,2023,2596,180513,2133000.0,21988014,8469.96,1,Aguascalientes
1,Servicios,2024,3071,257285,2439200.0,33272910,10834.55,1,Aguascalientes
1,Tecnologías de la información y la comunicación,2022,7813,753030,3947500.0,95826350,12264.99,1,Aguascalientes
1,Tecnologías de la información y la comunicación,2023,8359,869485,4373300.0,106514965,12742.55,1,Aguascalientes
1,Tecnologías de la información y la comunicación,2024,10109,1161322,4741500.0,157303220,15560.71,1,Aguascalientes
2," Ingeniería, manufactura y construcción",2022,72100,4212668,21322500.0,1051897540,14589.42,2,Baja California
2," Ingeniería, manufactura y construcción",2023,78354,5361295,25268700.0,1243830816,15874.5,2,Baja California
2," Ingeniería, manufactura y construcción",2024,86310,5830738,25101200.0,1498820224,17365.55,2,Baja California
2,Administración y negocios,2022,90224,4251967,14411000.0,1181726534,13097.7,2,Baja California
